rule,applicable_to,implemented,rule_location,rule_element,rule_file,rule_code,type,rule_type,optional,error_regex,context_required,rule_id
Element <taskbody> must contain one of the following: <steps-informal> or <steps-unordered> or <steps>.,['Task'],True,,"<define name=""taskbody"">",rng/ryffineTask.rng,"<define name=""taskbody"">
    <element name=""taskbody"">
      <optional>
        <ref name=""prereq""/>
      </optional>
      <optional>
        <ref name=""context""/>
      </optional>
      <choice>
        <ref name=""steps""/>
        <ref name=""steps-unordered""/>
        <ref name=""steps-informal""/>
      </choice>
      <optional>
        <ref name=""result""/>
      </optional>
      <optional>
        <ref name=""example""/>
      </optional>
      <optional>
        <ref name=""postreq""/>
      </optional>
    </element>
  </define>",rng,content_rule,False,"['element ""taskbody"" missing required attribute ""(.+?)""', 'element ""taskbody"" missing required attribute(?:s)? ((?:"".+?""(?:, | and ))*"".+?"")', 'element ""taskbody"" incomplete; missing required element ""(.+?)""', 'element ""taskbody"" incomplete; expected element (?:"".+?""(?:, | or ))*']",False,387
Element <tbody> must contain one or more instances of element <row>.,"['LearningOverview', 'Glossentry', 'Troubleshooting', 'Concept', 'Task', 'Reference']",True,,"<define name=""tbody"">",common/ryffineCommonElements.rng,"<define name=""tbody"">
    <element name=""tbody"">
      <oneOrMore>
        <ref name=""row""/>
      </oneOrMore>
    </element>
  </define>",rng,containment_rule,False,"['element ""tbody"" missing required attribute ""(.+?)""', 'element ""tbody"" missing required attribute(?:s)? ((?:"".+?""(?:, | and ))*"".+?"")', 'element ""tbody"" incomplete; missing required element ""(.+?)""', 'element ""tbody"" incomplete; expected element (?:"".+?""(?:, | or ))*']",False,388
Element <term> can optionally have attribute @keyref (must be a valid string).,"['LearningOverview', 'Glossentry', 'Bookmap', 'Troubleshooting', 'Map', 'Concept', 'Task', 'Reference']",True,,"<define name=""term"">",common/ryffineCommonElements.rng,"<define name=""term"">
    <element name=""term"">
      <optional>
        <attribute name=""keyref"">
          <data type=""string""/>
        </attribute>
      </optional>
      <text/>
    </element>
  </define>",rng,attribute_rule,True,"['attribute ""term"" not allowed here; expected attribute (?:"".+?""(?:, | or ))*', 'value of attribute ""term"" is invalid; must be equal to (?:"".+?""(?:, | or ))*', 'value of attribute ""term"" is invalid; must be an integer greater than or equal to \\d+']",False,389
Element <term> must contain only text.,"['LearningOverview', 'Glossentry', 'Bookmap', 'Troubleshooting', 'Map', 'Concept', 'Task', 'Reference']",True,,"<define name=""term"">",common/ryffineCommonElements.rng,"<define name=""term"">
    <element name=""term"">
      <optional>
        <attribute name=""keyref"">
          <data type=""string""/>
        </attribute>
      </optional>
      <text/>
    </element>
  </define>",rng,content_rule,False,"['element ""term"" missing required attribute ""(.+?)""', 'element ""term"" missing required attribute(?:s)? ((?:"".+?""(?:, | and ))*"".+?"")', 'element ""term"" incomplete; missing required element ""(.+?)""', 'element ""term"" incomplete; expected element (?:"".+?""(?:, | or ))*']",False,390
Element <tgroup> can optionally contain element <thead>.,"['LearningOverview', 'Glossentry', 'Troubleshooting', 'Concept', 'Task', 'Reference']",True,,"<define name=""tgroup"">",common/ryffineCommonElements.rng,"<define name=""tgroup"">
    <element name=""tgroup"">
      <attribute name=""cols"">
        <data type=""positiveInteger""/>
      </attribute>
      <oneOrMore>
        <ref name=""colspec""/>
      </oneOrMore>
      <optional>
        <ref name=""thead""/>
      </optional>
      <ref name=""tbody""/>
    </element>
  </define>",rng,content_rule,True,"['element ""tgroup"" missing required attribute ""(.+?)""', 'element ""tgroup"" missing required attribute(?:s)? ((?:"".+?""(?:, | and ))*"".+?"")', 'element ""tgroup"" incomplete; missing required element ""(.+?)""', 'element ""tgroup"" incomplete; expected element (?:"".+?""(?:, | or ))*']",False,391
"Element <tgroup> children must appear in order: (one or more of <colspec>), <thead> (optional), <tbody>.","['LearningOverview', 'Glossentry', 'Troubleshooting', 'Concept', 'Task', 'Reference']",True,,"<define name=""tgroup"">",common/ryffineCommonElements.rng,"<define name=""tgroup"">
    <element name=""tgroup"">
      <attribute name=""cols"">
        <data type=""positiveInteger""/>
      </attribute>
      <oneOrMore>
        <ref name=""colspec""/>
      </oneOrMore>
      <optional>
        <ref name=""thead""/>
      </optional>
      <ref name=""tbody""/>
    </element>
  </define>",rng,order_rule,False,"['element ""(.+?)"" not allowed (?:yet|here); missing required element ""(.+?)""', 'element ""(.+?)"" not allowed (?:yet|here); expected element (?:"".+?""(?:, | or ))*', 'element ""(.+?)"" not allowed (?:yet|here); expected the element end-tag or element (?:"".+?""(?:, | or ))*', 'element ""(.+?)"" not allowed (?:yet|here); expected the element end-tag', 'element ""(.+?)"" not allowed (?:yet|here); expected the element end-tag or text', 'element ""(.+?)"" not allowed (?:yet|here); expected the element end-tag, text or element (?:"".+?""(?:, | or ))*', 'text not allowed here; expected element (?:"".+?""(?:, | or ))*', 'text not allowed here; expected the element end-tag', 'text not allowed here; expected the element end-tag or element ""(.+?)""']",False,392
Element <tgroup> must contain element <tbody>.,"['LearningOverview', 'Glossentry', 'Troubleshooting', 'Concept', 'Task', 'Reference']",True,,"<define name=""tgroup"">",common/ryffineCommonElements.rng,"<define name=""tgroup"">
    <element name=""tgroup"">
      <attribute name=""cols"">
        <data type=""positiveInteger""/>
      </attribute>
      <oneOrMore>
        <ref name=""colspec""/>
      </oneOrMore>
      <optional>
        <ref name=""thead""/>
      </optional>
      <ref name=""tbody""/>
    </element>
  </define>",rng,content_rule,False,"['element ""tgroup"" missing required attribute ""(.+?)""', 'element ""tgroup"" missing required attribute(?:s)? ((?:"".+?""(?:, | and ))*"".+?"")', 'element ""tgroup"" incomplete; missing required element ""(.+?)""', 'element ""tgroup"" incomplete; expected element (?:"".+?""(?:, | or ))*']",False,393
Element <tgroup> must contain one or more instances of element <colspec>.,"['LearningOverview', 'Glossentry', 'Troubleshooting', 'Concept', 'Task', 'Reference']",True,,"<define name=""tgroup"">",common/ryffineCommonElements.rng,"<define name=""tgroup"">
    <element name=""tgroup"">
      <attribute name=""cols"">
        <data type=""positiveInteger""/>
      </attribute>
      <oneOrMore>
        <ref name=""colspec""/>
      </oneOrMore>
      <optional>
        <ref name=""thead""/>
      </optional>
      <ref name=""tbody""/>
    </element>
  </define>",rng,containment_rule,False,"['element ""tgroup"" missing required attribute ""(.+?)""', 'element ""tgroup"" missing required attribute(?:s)? ((?:"".+?""(?:, | and ))*"".+?"")', 'element ""tgroup"" incomplete; missing required element ""(.+?)""', 'element ""tgroup"" incomplete; expected element (?:"".+?""(?:, | or ))*']",False,394
Element <tgroup> must have attribute @cols (must be a valid positiveInteger).,"['LearningOverview', 'Glossentry', 'Troubleshooting', 'Concept', 'Task', 'Reference']",True,,"<define name=""tgroup"">",common/ryffineCommonElements.rng,"<define name=""tgroup"">
    <element name=""tgroup"">
      <attribute name=""cols"">
        <data type=""positiveInteger""/>
      </attribute>
      <oneOrMore>
        <ref name=""colspec""/>
      </oneOrMore>
      <optional>
        <ref name=""thead""/>
      </optional>
      <ref name=""tbody""/>
    </element>
  </define>",rng,attribute_rule,False,"['attribute ""tgroup"" not allowed here; expected attribute (?:"".+?""(?:, | or ))*', 'value of attribute ""tgroup"" is invalid; must be equal to (?:"".+?""(?:, | or ))*', 'value of attribute ""tgroup"" is invalid; must be an integer greater than or equal to \\d+']",False,395
Element <thead> must contain one or more instances of element <row>.,"['LearningOverview', 'Glossentry', 'Troubleshooting', 'Concept', 'Task', 'Reference']",True,,"<define name=""thead"">",common/ryffineCommonElements.rng,"<define name=""thead"">
    <element name=""thead"">
      <oneOrMore>
        <ref name=""row""/>
      </oneOrMore>
    </element>
  </define>",rng,containment_rule,False,"['element ""thead"" missing required attribute ""(.+?)""', 'element ""thead"" missing required attribute(?:s)? ((?:"".+?""(?:, | and ))*"".+?"")', 'element ""thead"" incomplete; missing required element ""(.+?)""', 'element ""thead"" incomplete; expected element (?:"".+?""(?:, | or ))*']",False,396
